Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,42.500000,43.000000,42.299999,42.450001,37.993587,234516
2019-05-13,42.400002,42.400002,41.650002,41.849998,37.456573,504976
2019-05-14,41.799999,42.700001,41.349998,42.299999,37.859333,456386
2019-05-15,42.500000,43.150002,42.400002,42.900002,38.396347,479729
2019-05-16,43.000000,43.099998,42.000000,42.700001,38.217342,512298
2019-05-17,42.700001,43.000000,42.650002,42.900002,38.396347,339728
2019-05-20,43.849998,43.849998,42.750000,42.799999,38.306843,325214
2019-05-21,42.799999,42.900002,42.349998,42.799999,38.306843,270457
2019-05-22,42.799999,43.200001,42.799999,43.099998,38.575348,287037
2019-05-23,43.099998,43.099998,42.599998,42.700001,38.217342,279215
2019-05-24,42.750000,43.099998,42.599998,42.900002,38.396347,328277
2019-05-27,42.200001,43.099998,42.200001,43.099998,38.575348,320279
2019-05-28,43.099998,43.250000,43.099998,43.099998,38.575348,192195
2019-05-29,43.099998,43.299999,43.000000,43.299999,38.754353,138065
2019-05-30,43.299999,43.450001,43.200001,43.400002,38.843857,248583
2019-05-31,43.400002,45.000000,43.400002,44.049999,39.425617,865529
2019-06-03,44.000000,44.049999,43.349998,43.549999,38.978107,428927
2019-06-04,43.549999,43.549999,42.849998,43.000000,38.485847,524300
2019-06-05,43.000000,43.150002,42.849998,42.849998,38.351593,300017
2019-06-06,42.950001,43.299999,42.950001,43.099998,38.575348,182134
2019-06-10,43.599998,44.500000,43.000000,44.400002,39.738876,539693
2019-06-11,44.900002,44.900002,44.099998,44.400002,39.738876,322407
2019-06-12,44.400002,44.400002,43.700001,44.099998,39.470367,188610
2019-06-13,44.099998,44.599998,44.099998,44.250000,39.604622,99251
2019-06-14,44.250000,44.250000,44.000000,44.000000,39.380867,84562
2019-06-17,44.000000,44.700001,43.799999,44.700001,40.007381,333923
2019-06-18,44.750000,45.400002,44.599998,45.400002,40.633896,849351
2019-06-19,45.599998,45.799999,45.000000,45.250000,40.499641,328430
2019-06-20,45.250000,45.250000,45.000000,45.150002,40.410141,200427
2019-06-21,45.099998,45.349998,44.900002,45.099998,40.365387,234557
2019-06-24,45.299999,45.500000,45.250000,45.450001,40.678646,263218
2019-06-25,45.599998,45.950001,45.099998,45.500000,40.723400,444994
2019-06-26,45.500000,45.700001,45.500000,45.500000,40.723400,239769
2019-06-27,45.500000,45.700001,45.500000,45.650002,40.857651,235705
2019-06-28,45.650002,45.900002,45.650002,45.750000,40.947151,191279
2019-07-01,45.750000,46.000000,45.750000,45.950001,41.126156,278431
2019-07-02,46.000000,46.799999,45.950001,46.500000,41.618416,397753
2019-07-03,46.500000,47.000000,46.299999,46.900002,41.976425,427159
2019-07-04,47.000000,48.200001,47.000000,48.150002,43.095200,743247
2019-07-05,48.299999,48.299999,47.400002,47.500000,42.513435,636762
2019-07-08,47.549999,47.900002,47.049999,47.450001,42.468685,436246
2019-07-09,47.599998,47.750000,47.299999,47.650002,42.647690,217587
2019-07-10,47.750000,47.799999,47.250000,47.750000,42.737190,382768
2019-07-11,47.750000,48.450001,47.700001,48.400002,43.318954,577671
2019-07-12,48.349998,49.200001,48.200001,48.750000,43.632214,474210
2019-07-15,48.750000,49.200001,48.750000,49.049999,43.900719,425357
2019-07-16,49.049999,49.049999,48.500000,48.500000,43.408459,628740
2019-07-17,48.500000,49.000000,48.500000,48.900002,43.766464,818055
2019-07-18,46.650002,48.500000,46.650002,48.000000,45.422493,1247282
2019-07-19,48.700001,49.000000,47.500000,47.700001,45.138603,579132
2019-07-22,47.700001,47.750000,47.049999,47.049999,44.523506,500542
2019-07-23,47.299999,47.349998,46.000000,46.200001,43.719151,804147
2019-07-24,46.299999,46.900002,46.099998,46.849998,44.334244,341129
2019-07-25,47.000000,47.200001,46.349998,46.400002,43.908413,464016
2019-07-26,46.849998,46.950001,46.450001,46.650002,44.144985,171361
2019-07-29,46.549999,46.549999,46.349998,46.450001,43.955727,182008
2019-07-30,46.450001,46.450001,45.700001,46.200001,43.719151,392712
2019-07-31,45.700001,46.900002,45.700001,46.900002,44.381561,323491
2019-08-01,46.799999,46.799999,46.349998,46.599998,44.097668,152501
2019-08-02,47.000000,47.000000,45.849998,45.849998,43.387943,346339
2019-08-05,45.799999,46.150002,45.299999,45.500000,43.056740,355790
2019-08-06,44.799999,45.400002,44.099998,45.200001,42.772850,349871
2019-08-07,45.200001,45.799999,45.200001,45.500000,43.056740,134952
2019-08-08,45.500000,45.900002,45.500000,45.900002,43.435261,129583
2019-08-12,45.799999,46.250000,44.950001,46.150002,43.671837,593475
2019-08-13,45.599998,45.599998,44.250000,44.400002,42.015808,929482
2019-08-14,44.299999,44.500000,42.799999,43.150002,40.832932,945986
2019-08-15,43.000000,43.000000,42.400002,42.650002,40.359779,513475
2019-08-16,42.650002,43.000000,42.500000,42.900002,40.596355,287091
2019-08-19,43.000000,43.299999,42.750000,43.299999,40.974873,390084
2019-08-20,43.400002,44.099998,43.400002,44.049999,41.684601,335281
2019-08-21,44.200001,44.200001,43.650002,43.950001,41.589970,338428
2019-08-22,43.950001,43.950001,43.299999,43.299999,40.974873,325526
2019-08-23,43.299999,43.450001,43.200001,43.299999,40.974873,117841
2019-08-26,42.900002,42.900002,42.599998,42.650002,40.359779,326683
2019-08-27,42.650002,42.750000,42.500000,42.549999,40.265148,213177
2019-08-28,42.549999,42.700001,41.799999,41.900002,39.650051,632297
2019-08-29,41.900002,42.200001,41.750000,42.200001,39.933941,281510
2019-08-30,42.299999,42.500000,42.099998,42.450001,40.170517,124524
2019-09-02,42.599998,43.200001,42.599998,43.150002,40.832932,301766
2019-09-03,43.299999,43.450001,43.200001,43.400002,41.069504,160673
2019-09-04,43.700001,43.700001,42.900002,43.000000,40.690983,353735
2019-09-05,43.400002,43.400002,42.450001,42.549999,40.265148,317557
2019-09-06,42.599998,42.950001,42.549999,42.900002,40.596355,239402
2019-09-10,43.000000,43.299999,42.049999,42.349998,40.075886,487821
2019-09-11,42.099998,42.650002,42.000000,42.500000,40.217831,242241
2019-09-12,42.349998,42.700001,42.299999,42.400002,40.123203,339286
2019-09-16,42.400002,42.450001,42.099998,42.150002,39.886627,227464
2019-09-17,42.150002,42.450001,42.000000,42.400002,40.123203,233913
2019-09-18,42.349998,43.250000,42.349998,43.150002,40.832932,489800
2019-09-19,43.400002,44.500000,43.299999,44.450001,42.063122,896159
2019-09-20,44.500000,44.650002,44.200001,44.299999,41.921177,445864
2019-09-23,44.299999,44.299999,43.650002,43.900002,41.542656,350985
2019-09-24,44.250000,44.250000,43.900002,43.900002,41.542656,128450
2019-09-25,44.000000,44.000000,43.049999,43.250000,40.927559,302228
2019-09-26,43.500000,43.500000,42.599998,42.700001,40.407093,480664
2019-09-27,43.150002,45.000000,43.150002,44.400002,42.015808,1204902
2019-10-01,45.599998,46.099998,44.700001,45.099998,42.678215,1208179
2019-10-02,44.950001,45.700001,44.500000,45.599998,43.151367,601300
2019-10-03,45.500000,45.799999,44.849998,45.500000,43.056740,235700
2019-10-04,45.750000,45.750000,45.000000,45.250000,42.820164,250491
2019-10-07,45.250000,45.400002,44.500000,44.799999,42.394325,362925
2019-10-08,45.000000,45.000000,44.500000,44.799999,42.394325,133880
2019-10-09,44.799999,45.150002,44.750000,45.099998,42.678215,206151
2019-10-14,45.549999,46.500000,45.549999,46.400002,43.908413,782494
2019-10-15,46.400002,47.349998,45.799999,46.900002,44.381561,693592
2019-10-16,46.900002,47.000000,46.599998,46.700001,44.192303,215624
2019-10-17,46.750000,47.400002,46.750000,47.200001,44.665451,445367
2019-10-18,47.299999,48.500000,47.299999,47.799999,45.233231,1836103
2019-10-21,48.000000,48.450001,47.849998,48.000000,45.422493,472181
2019-10-22,48.400002,48.400002,47.599998,48.200001,45.611755,344295
2019-10-23,48.299999,48.299999,47.650002,47.900002,45.327866,248270
2019-10-24,48.000000,48.000000,47.349998,47.549999,44.996655,325772
2019-10-25,47.549999,47.750000,47.450001,47.549999,44.996655,161589
2019-10-28,47.599998,47.650002,47.099998,47.349998,44.807396,223204
2019-10-29,47.200001,47.200001,46.700001,46.900002,44.381561,362465
2019-10-30,46.950001,47.900002,46.950001,47.900002,45.327866,207429
2019-10-31,47.900002,48.349998,47.700001,48.150002,45.564438,318702
